Jogador;Time;#;Nação;Pos.;Idade
Felipe Jonatan;Fortaleza;36;BRA;LB;26
Lincoln;Red Bull Bragantino;10;BRA;LM,CM;25
Eduardo Santos;Red Bull Bragantino;3;BRA;CB,CM;26
Nathan Mendes;Red Bull Bragantino;45;BRA;RB;21
Kleiton;Juventude;75;BRA;RW,LW;25
Alan Ruschel;Juventude;28;BRA;LB;34
Nikão;Athletico Paranaense;11;BRA;AM,RW;31
Mateo Gamarra;Athletico Paranaense;15;PAR;CB;23
Matheus Dias;Internacional;41;BRA;RB;27
Derek;Atlético Goianiense;17;BRA;FW;26
Maguinho;Atlético Goianiense;7;BRA;RW;31
Max;Atlético Goianiense;19;BRA;RW;21
Alejo Cruz;Atlético Goianiense;20;URU;AM;23
Rafael Ratão;Bahia;21;BRA;FW;28
Edenílson;Grêmio;15;BRA;RW;34
Rafael Cabral;Grêmio;33;BRA;GK;33
Rômulo;Atlético Mineiro;47;BRA;CB;20
Helinho;Red Bull Bragantino;11;BRA;RW;24
Lucas Evangelista;Red Bull Bragantino;8;BRA;DM;28
Pedro Henrique;Red Bull Bragantino;14;BRA;CB;28
Leo Ortiz;Flamengo;3;BRA;CB;28
Patric Calmon PK;Vitória;14;BRA;LB,WB;29
Reynaldo Cesar Moraes;Vitória;40;BRA;CB;27
Rodrigo;São Paulo;18;BRA;AM;20
Erick;São Paulo;33;BRA;WB;26
Ramon;Cuiabá;23;BRA;WB;23
Zé Rafael;Palmeiras;8;BRA;CM;30
Cuiabano;Botafogo (RJ);66;BRA;LB,WB;21
Giovane;Corinthians;17;BRA;RB;20
Gabriel Barbosa;Flamengo;10;BRA;FW;27
Léo Mana;Corinthians;35;BRA;RB;20
Fernando;Athletico Paranaense;6;BRA;LB;24
Derek;Atlético Goianiense;9;BRA;FW;26
Emiliano Rodríguez;Atlético Goianiense;21;URU;FW;20
Gabriel Barros;Atlético Goianiense;7;BRA;RW;22
Danielzinho;Atlético Goianiense;17;BRA;AM;28
Lucas Kal;Atlético Goianiense;5;BRA;DM;28
Vitor Hugo Amorim;Cruzeiro;22;BRA;LM;20
Breno;Fortaleza;26;BRA;LW;28
Matheus Rossetto;Fortaleza;16;BRA;DM;27
Talisson;Red Bull Bragantino;21;BRA;FW;21
Matheus Fernandes;Red Bull Bragantino;35;BRA;LM;25
José Luis Rodríguez Bebanz;Vasco da Gama;2;URU;LW;27
Bruno Praxedes;Vasco da Gama;21;BRA;AM;22
Patryck;São Paulo;36;BRA;LB;21
Keno;Fluminense;11;BRA;LW;34
Erick Castillo;Vitória;31;ECU;LM;29
Caio Vinícius;Vitória;15;BRA;CM;25
Vágner Love;Atlético Goianiense;9;BRA;FW;39
Emiliano Rodríguez;Atlético Goianiense;19;URU;FW;20
Alejo Cruz;Atlético Goianiense;11;URU;LW;23
Budiga Roni;Atlético Goianiense;16;BRA;CM;25
Rhaldney;Atlético Goianiense;7;BRA;RM;25
Felipe Carballo;Grêmio;8;URU;DM;27
Mayk;Grêmio;26;BRA;LB;24
Enner Valencia;Internacional;13;ECU;FW;34
Alan Patrick;Internacional;10;BRA;AM;33
Charles Aránguiz;Internacional;20;CHI;DM;35
Igor Gomes;Internacional;3;BRA;RB;23
Thiago dos Santos;Fluminense;29;BRA;CB;34
Marlon;Fluminense;4;BRA;CB;28
Luis Oyama;Juventude;5;BRA;CM,DM;27
Allano;Criciúma;2;BRA;FW;29
Arthur;Criciúma;45;BRA;RW;31
Ronald;Criciúma;6;BRA;RM;26
Rodrigo Fagundes;Criciúma;150;BRA;CB;37
Jonathan;Criciúma;13;BRA;RB;31
Caio Paulista;Palmeiras;16;BRA;LB;26
Victor Luis;Vasco da Gama;12;BRA;LM;30
Gabriel Barbosa;Flamengo;99;BRA;FW;27
David Luiz;Flamengo;23;BRA;CB;37
Lucas Moura;São Paulo;7;BRA;FW;31
Luiz Gustavo;São Paulo;16;BRA;CM;36
João Moreira;São Paulo;30;POR;RB;20
Kaiki;Cruzeiro;6;BRA;LB;21
Leandro Emmanuel Martínez;Fortaleza;8;ARG;LM;29
Tomás Cardona;Fortaleza;25;ARG;CB;28
Lucas Di Yorio;Athletico Paranaense;7;ARG;DM;27
Yarlen Augusto;Botafogo (RJ);67;BRA;FW;18
Ewerton;Juventude;14;BRA;RW;23
Mateo Zuleta;Atlético Goianiense;21;COL;LW;21
Tobias Figueiredo;Criciúma;29;POR;CB;30
Vágner Love;Atlético Goianiense;18;BRA;FW;40
Alejo Cruz;Atlético Goianiense;19;URU;LM,CB;23
Bruno Tubarão;Atlético Goianiense;13;BRA;RB;29
Caetano;Corinthians;4;BRA;CB,RW;24
Gabriel Moscardo;Corinthians;44;BRA;CM,LM;18
Vinicius Mendonça;Red Bull Bragantino;54;BRA;LW;20
Brahian Palacios;Atlético Mineiro;30;COL;FW;21
João Wellington;Cruzeiro;77;BRA;LM;20
Lucas Villalba;Cruzeiro;25;ARG;LB;29
Evertton;Flamengo;52;BRA;AM;21
Nathan;Grêmio;14;BRA;FW;28
João Pedro Pepê;Grêmio;23;BRA;CM;26
Reinaldo;Grêmio;6;BRA;LB;34
Hyoran;Internacional;7;BRA;FW;31
Fabrício;Internacional;12;BRA;GK;38
Jandrei;São Paulo;93;BRA;GK;31
Kayke Santos;Athletico Paranaense;21;BRA;RW;16
Leonardo Linck;Athletico Paranaense;24;BRA;GK;23
João Carlos;Criciúma;21;BRA;FW;22
Yago;Bahia;20;BRA;RM;29
Gilberto;Bahia;2;BRA;RB;31
Pedro Rocha Neves;Fortaleza;32;BRA;LM,RM;29
